Source,Target
0,1
0,2
0,4
0,6
0,10
0,13
0,14
0,16
0,18
1,0
1,4
1,5
1,7
1,10
1,15
2,0
2,13
2,15
2,19
3,6
3,10
3,11
3,13
3,15
4,0
4,1
4,8
4,10
4,14
4,15
4,16
4,17
4,19
5,1
5,8
5,9
5,11
5,13
5,15
5,19
6,0
6,3
6,18
6,19
7,1
7,9
7,12
7,17
8,4
8,5
8,12
8,13
9,5
9,7
9,12
9,16
10,0
10,1
10,3
10,4
10,13
10,15
10,19
11,3
11,5
11,12
11,13
11,16
11,18
12,7
12,8
12,9
12,11
13,0
13,2
13,3
13,5
13,8
13,10
13,11
13,16
14,0
14,4
14,16
14,18
15,1
15,2
15,3
15,4
15,5
15,10
16,0
16,4
16,9
16,11
16,13
16,14
16,18
16,19
17,4
17,7
18,0
18,6
18,11
18,14
18,16
19,2
19,4
19,5
19,6
19,10
19,16
