Source,Target
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
7,8
8,7
8,9
9,8
9,10
10,9
10,11
11,10
11,12
12,11
12,13
13,12
14,15
15,14
15,16
16,15
16,17
17,16
17,18
18,17
18,19
19,18
19,20
20,19
21,22
22,21
22,23
23,22
23,24
24,23
24,25
25,24
25,26
26,25
26,27
27,26
28,29
29,28
29,30
30,29
30,31
31,30
31,32
32,31
32,33
33,32
33,34
34,33
35,36
36,35
36,37
37,36
37,38
38,37
38,39
39,38
39,40
40,39
40,41
41,40
42,43
43,42
43,44
44,43
44,45
45,44
45,46
46,45
46,47
47,46
47,48
48,47
0,7
7,0
1,8
8,1
2,9
9,2
3,10
10,3
4,11
11,4
5,12
12,5
6,13
13,6
7,14
14,7
8,15
15,8
9,16
16,9
10,17
17,10
11,18
18,11
12,19
19,12
13,20
20,13
14,21
21,14
15,22
22,15
16,23
23,16
17,24
24,17
18,25
25,18
19,26
26,19
20,27
27,20
21,28
28,21
22,29
29,22
23,30
30,23
24,31
31,24
25,32
32,25
26,33
33,26
27,34
34,27
28,35
35,28
29,36
36,29
30,37
37,30
31,38
38,31
32,39
39,32
33,40
40,33
34,41
41,34
35,42
42,35
36,43
43,36
37,44
44,37
38,45
45,38
39,46
46,39
40,47
47,40
41,48
48,41
