Source,Target
0,26
0,31
0,86
0,96
1,17
1,28
1,38
1,54
1,71
1,82
2,7
2,8
2,9
2,10
2,26
2,31
2,38
2,43
2,51
2,61
2,66
2,91
3,23
3,26
3,50
3,63
3,68
4,5
5,4
5,12
5,14
5,17
5,19
5,24
5,38
5,51
5,91
6,7
6,40
6,48
6,91
7,2
7,6
7,12
7,72
7,90
8,2
8,31
8,43
9,2
10,2
10,12
10,19
10,40
10,82
11,17
11,21
11,23
11,25
11,28
11,44
12,5
12,7
12,10
12,13
12,15
12,16
12,22
12,26
12,28
12,29
12,32
12,33
12,35
12,70
12,74
12,75
12,86
12,96
13,12
14,5
15,12
15,17
16,12
16,78
17,1
17,5
17,11
17,15
17,18
17,20
17,26
17,28
17,30
17,32
17,35
17,37
17,39
17,44
17,47
17,50
17,51
17,54
17,55
17,56
17,60
17,62
17,63
17,64
17,65
17,68
17,69
17,71
17,76
17,77
17,79
17,80
17,81
17,82
17,86
17,87
17,90
17,91
17,94
17,96
17,98
17,99
18,17
18,23
18,63
18,64
18,84
19,5
19,10
19,22
19,27
19,28
19,34
19,40
19,46
19,57
19,61
19,68
19,81
19,85
19,88
19,92
20,17
20,72
21,11
21,64
21,71
21,86
22,12
22,19
22,44
22,89
23,3
23,11
23,18
23,82
24,5
25,11
25,50
25,71
26,0
26,2
26,3
26,12
26,17
26,30
26,34
26,41
26,44
26,57
26,59
26,62
26,67
26,85
26,90
26,94
27,19
27,51
27,88
28,1
28,11
28,12
28,17
28,19
28,31
28,36
28,54
28,71
28,73
28,75
28,84
28,94
29,12
30,17
30,26
30,31
31,0
31,2
31,8
31,28
31,30
31,38
31,42
31,44
31,58
31,64
31,76
31,79
31,84
31,89
32,12
32,17
32,94
33,12
33,84
34,19
34,26
34,35
34,48
34,50
34,69
34,88
34,92
35,12
35,17
35,34
35,39
35,41
35,52
35,56
35,71
35,82
35,89
36,28
37,17
38,1
38,2
38,5
38,31
38,64
38,89
39,17
39,35
39,93
40,6
40,10
40,19
41,26
41,35
41,54
42,31
43,2
43,8
43,46
43,51
43,82
44,11
44,17
44,22
44,26
44,31
44,58
44,62
44,72
44,73
44,74
44,82
45,91
46,19
46,43
46,51
46,64
46,71
46,84
47,17
48,6
48,34
48,64
49,51
50,3
50,17
50,25
50,34
50,53
50,91
51,2
51,5
51,17
51,27
51,43
51,46
51,49
52,35
52,96
53,50
53,91
54,1
54,17
54,28
54,41
54,81
55,17
56,17
56,35
56,71
57,19
57,26
57,64
57,68
57,71
57,76
57,86
57,96
57,99
58,31
58,44
58,70
59,26
60,17
61,2
61,19
62,17
62,26
62,44
62,82
63,3
63,17
63,18
63,86
63,91
64,17
64,18
64,21
64,31
64,38
64,46
64,48
64,57
64,66
64,83
65,17
66,2
66,64
67,26
67,79
68,3
68,17
68,19
68,57
68,82
69,17
69,34
70,12
70,58
71,1
71,17
71,21
71,25
71,28
71,35
71,46
71,56
71,57
71,94
71,99
72,7
72,20
72,44
72,73
72,80
73,28
73,44
73,72
74,12
74,44
75,12
75,28
76,17
76,31
76,57
76,89
77,17
78,16
79,17
79,31
79,67
80,17
80,72
81,17
81,19
81,54
82,1
82,10
82,17
82,23
82,35
82,43
82,44
82,62
82,68
82,85
82,97
83,64
84,18
84,28
84,31
84,33
84,46
85,19
85,26
85,82
85,91
86,0
86,12
86,17
86,21
86,57
86,63
87,17
88,19
88,27
88,34
89,22
89,31
89,35
89,38
89,76
89,90
90,7
90,17
90,26
90,89
90,95
91,2
91,5
91,6
91,17
91,45
91,50
91,53
91,63
91,85
92,19
92,34
93,39
94,17
94,26
94,28
94,32
94,71
94,99
95,90
96,0
96,12
96,17
96,52
96,57
97,82
98,17
99,17
99,57
99,71
99,94
